Reference_Observation_Point_Name,Reference_Observation_Point_Latitude,Reference_Observation_Point_Longitude
P01-C,33.286,-3.825
P01-D,33.135,-3.954
P02-1,33.100,-3.968
P02-2,33.110,-3.988
P02-3,33.120,-4.008
P02-4,33.133,-4.024
P02-5,33.146,-4.041
P02-6,33.149,-4.063
P02-7,33.146,-4.081
P02-C,33.295,-3.841
P02-D,33.157,-3.922
P03-1,33.115,-3.961
P03-1B,33.158,-4.020
P03-2,33.131,-3.977
P03-2B,33.168,-4.044
P03-3,33.145,-3.994
P03-3B,33.176,-4.058
P03-4,33.160,-4.007
P03-4B,33.180,-4.076
P03-5,33.176,-4.021
P03-5B,33.163,-4.082
P03-C,33.265,-3.882
P03-D,33.193,-3.994
P04-1,33.136,-3.921
P04-2,33.145,-3.936
P04-3,33.156,-3.955
P04-4,33.166,-3.973
P04-5,33.176,-3.991
P04-6,33.184,-4.004
P04-7,33.196,-4.020
P04-8,33.202,-4.033
P04-9,33.219,-4.062
P04-C,33.221,-3.950
P04-D,33.194,-3.962
P05-1,33.167,-3.891
P05-2,33.170,-3.912
P05-3,33.172,-3.937
P05-4,33.176,-3.959
P05-4B,33.174,-3.949
P05-5,33.181,-3.979
P05-6,33.180,-4.015
P05-7,33.181,-4.030
P05-7B,33.181,-4.030
P05-8,33.203,-4.046
P05-C,33.232,-3.965
P05-D,33.233,-3.891
P06-1,33.196,-3.876
P06-2,33.198,-3.898
P06-3,33.202,-3.919
P06-4,33.206,-3.941
P06-5,33.209,-3.964
P06-6,33.221,-3.985
P06-7,33.230,-4.005
P06-8,33.242,-4.022
P06-8B,33.232,-4.029
P06-9,33.236,-4.032
P06C,33.245,-3.992
P06-D,33.330,-3.834
P07-1,33.196,-3.876
P07-2,33.210,-3.890
P07-3,33.217,-3.912
P07-4,33.223,-3.932
P07-5,33.235,-3.948
P07-6,33.246,-3.965
P07-7,33.255,-3.993
P07-8,33.269,-3.999
P07-9,33.269,-4.019
P07C,33.196,-4.064
P07D,33.269,-3.884
P08-1,33.204,-3.864
P08-2,33.216,-3.883
P08-3,33.226,-3.901
P08-4,33.234,-3.917
P08-5,33.243,-3.936
P08-6,33.255,-3.958
P08-7,33.270,-3.971
P08-C,33.207,-3.982
P08-D,33.226,-3.870
P09-1,33.228,-3.835
P09-2,33.234,-3.856
P09-3,33.243,-3.875
P09-4,33.252,-3.893
P09-5,33.262,-3.912
P09-6,33.271,-3.931
P09-7,33.280,-3.949
P09-7B,33.280,-3.949
P09-8,33.285,-3.976
P09-8B,33.286,-3.963
P09-9,33.282,-3.981
P10-1,33.254,-3.829
P10-2,33.268,-3.845
P10-3,33.276,-3.866
P10-4,33.281,-3.888
P10-5,33.286,-3.910
P10-6,33.291,-3.930
P10-7,33.298,-3.967
P10-7B,33.303,-3.948
P10-8,33.303,-3.948
P10-8B,33.311,-3.967
P10-9,33.311,-3.967
P11-1,33.254,-3.829
P11-2,33.269,-3.846
P11-3,33.281,-3.863
P11-4,33.295,-3.882
P11-5,33.304,-3.905
P12-1,33.291,-3.783
P12-2,33.298,-3.804
P12-3,33.304,-3.824
P12-4,33.310,-3.846
P12-5,33.317,-3.864
P12-6,33.323,-3.884
P13-1,33.319,-3.763
P13-2,33.322,-3.773
P13-3,33.326,-3.782
P13-4,33.334,-3.801
P13-5,33.342,-3.821
