Reference_Observation_Point_Name,Reference_Observation_Point_Latitude,Reference_Observation_Point_Longitude,Real_Observation_Point_Name,Real_Observation_Point_Date,Real_Observation_Point_Latitude,Real_Observation_Point_Longitude,Display_Station_Name,Display_Station_Latitude,Display_Station_Longitude,Displaying_Male_Number
P05-6,33.180,-4.015,P05-6,15/02/2005 00:00:00,33.17974,-4.01499,NULL,NULL,NULL,1
P09-2,33.234,-3.856,P09-2,17/02/2005 08:30:00,33.23379,-3.85593,05P04S,33.24373,-3.86237,1
P05-2,33.170,-3.912,P05-2,10/3/2005 8:30,33.16954,-3.91237,05P22S,33.17934,-3.92233,1
P05-2,33.170,-3.912,P05-2,10/3/2005 8:30,33.16954,-3.91237,05P23S,33.18411,-3.92732,1
P07-1,33.196,-3.876,P07-1,16/03/2005 00:00:00,33.19586,-3.87636,NULL,NULL,NULL,1
P10-1,33.254,-3.829,P10-1,30/03/2005 00:00:00,33.25445,-3.8293,NULL,NULL,NULL,1
P06-1,33.196,-3.876,P06-1,13/04/2005 06:50:00,33.19576,-3.87617,05P02Y,33.20284,-3.90695,1
P06-1,33.196,-3.876,P06-1,13/04/2005 06:50:00,33.19576,-3.87617,408Y,33.20536,-3.89302,1
P10-4,33.281,-3.888,P10-4,29/04/2005 00:00:00,33.28101,-3.88759,NULL,NULL,NULL,1
P13-2,33.322,-3.773,P13-2,29/04/2005 00:00:00,33.32243,-3.77311,NULL,NULL,NULL,1
P13-3,33.326,-3.782,P13-3,29/04/2005 00:00:00,33.3264,-3.78209,NULL,NULL,NULL,1
P07-3,33.217,-3.912,P07-3,10/1/2006 8:22,33.21661,-3.91157,NULL,NULL,NULL,1
P02-3,33.120,-4.008,P02-3,16/01/2006 00:00:00,33.11964,-4.008,NULL,NULL,NULL,1
P06-8,33.242,-4.022,P06-8,18/01/2006 00:00:00,33.242,-4.02248,NULL,NULL,NULL,1
P06-9,33.236,-4.032,P06-9,18/01/2006 00:00:00,33.23574,-4.03174,NULL,NULL,NULL,1
P05-4,33.176,-3.959,P05-4,18/01/2006 16:40:00,33.17586,-3.95855,NULL,NULL,NULL,1
P03-5B,33.163,-4.082,P03-5b,23/01/2006 00:00:00,33.16251,-4.08175,NULL,NULL,NULL,1
P09-6,33.271,-3.931,P09-6,24/01/2006 08:20:00,33.27127,-3.93145,NULL,NULL,NULL,1
P10-6,33.291,-3.930,P10-6,24/01/2006 09:50:00,33.29113,-3.93042,NULL,NULL,NULL,1
P03-C,33.265,-3.882,P03c,25/01/2006 07:38:00,33.26451,-3.88204,06P04L,33.27138,-3.88467,1
P06-7,33.230,-4.005,P06-7,26/01/2006 00:00:00,33.23025,-4.00459,NULL,NULL,NULL,1
P12-5,33.317,-3.864,P12-5,26/01/2006 09:28:00,33.31687,-3.86446,NULL,NULL,NULL,1
P12-6,33.323,-3.884,P12-6,26/01/2006 09:45:00,33.3231,-3.88448,NULL,NULL,NULL,1
P09-8,33.285,-3.976,P09-8,31/01/2006 00:00:00,33.2847,-3.97554,NULL,NULL,NULL,1
P05-3,33.172,-3.937,P05-3,31/01/2006 07:58:00,33.17236,-3.93711,NULL,NULL,NULL,1
P09-8,33.285,-3.976,P09-8,3/2/2006 9:45,33.2847,-3.97554,NULL,NULL,NULL,1
P04-3,33.156,-3.955,P04-3,7/2/2006 9:07,33.15564,-3.95461,NULL,NULL,NULL,1
P02-C,33.295,-3.841,P02c,9/2/2006 9:38,33.29458,-3.84073,NULL,NULL,NULL,1
P12-1,33.291,-3.783,P12-1,18/02/2006 07:07:00,33.29143,-3.78331,NULL,NULL,NULL,1
P06-4,33.206,-3.941,P06-4,21/02/2006 07:45:00,33.2056,-3.94079,NULL,NULL,NULL,1
P06-5,33.209,-3.964,P06-5,21/02/2006 08:15:00,33.20911,-3.96433,NULL,NULL,NULL,1
P03-1,33.115,-3.961,P03-1,25/02/2006 06:55:00,33.11466,-3.96077,NULL,NULL,NULL,1
P02-5,33.146,-4.041,P02-5,2/3/2006 8:32,33.1462,-4.04137,NULL,NULL,NULL,1
P09-8,33.285,-3.976,P09-8,2/3/2006 9:02,33.2847,-3.97554,NULL,NULL,NULL,1
P10-9,33.311,-3.967,P10-9,9/3/2006 7:15,33.31143,-3.96744,NULL,NULL,NULL,1
P11-5,33.304,-3.905,P11-5,21/03/2006 08:01:00,33.304,-3.90548,NULL,NULL,NULL,1
P06-8,33.242,-4.022,P06-8,24/03/2006 06:47:00,33.242,-4.02248,NULL,NULL,NULL,1
P09-8,33.285,-3.976,P09-8,31/03/2006 06:45:00,33.2847,-3.97554,NULL,NULL,NULL,1
P03-1,33.115,-3.961,P03-1,13/04/2006 06:11:00,33.11466,-3.96077,06P29s,33.11969,-3.95816,1
P04-3,33.156,-3.955,P04-3,13/04/2006 16:28:00,33.15564,-3.95461,NULL,NULL,NULL,1
P06-8,33.242,-4.022,P06-8,18/04/2006 07:54:00,33.242,-4.02248,NULL,NULL,NULL,1
P08-2,33.216,-3.883,P08-2,18/04/2006 16:47:00,33.21649,-3.88286,NULL,NULL,NULL,1
P09-5,33.262,-3.912,P09-5,18/04/2006 18:03:00,33.26152,-3.91198,NULL,NULL,NULL,1
P09-1,33.228,-3.835,P09-1,19/04/2006 17:00:00,33.22805,-3.83545,NULL,NULL,NULL,1
P08-2,33.216,-3.883,P08-2,4/5/2006 17:23,33.21649,-3.88286,NULL,NULL,NULL,1
P08-1,33.204,-3.864,P08-1,9/5/2006 5:17,33.20401,-3.86441,NULL,NULL,NULL,1
P07-5,33.235,-3.948,P07-5,11/5/2006 6:30,33.23492,-3.94798,NULL,NULL,NULL,1
P12-3,33.304,-3.824,P12-3,16/05/2006 06:14:00,33.30424,-3.8242,06P20Q,33.3064,-3.80998,1
P12-5,33.317,-3.864,P12-5,16/05/2006 07:20:00,33.31687,-3.86446,NULL,NULL,NULL,1
P09-8,33.285,-3.976,P09-8,18/05/2006 07:31:00,33.2847,-3.97554,NULL,NULL,NULL,1
P12-4,33.310,-3.846,P12-4,29/05/2006 18:12:00,33.30964,-3.84591,NULL,NULL,NULL,1
P02-C,33.295,-3.841,P02C,5/6/2006 17:32,33.29458,-3.84073,NULL,NULL,NULL,1
P04-9,33.219,-4.062,P04-9,6/2/2007 8:12,33.21895,-4.06241,NULL,NULL,NULL,1
P04-5,33.176,-3.991,P04-5,8/2/2007 7:19,33.17586,-3.9908,NULL,NULL,NULL,1
P12-1,33.291,-3.783,P12-1,20/02/2007 06:48:00,33.29143,-3.78331,NULL,NULL,NULL,1
P12-2,33.298,-3.804,P12-2,20/02/2007 07:10:00,33.29775,-3.80351,07P02Q,33.28303,-3.81893,1
P03-5B,33.163,-4.082,P03-5b,21/02/2007 07:11:00,33.16251,-4.08175,NULL,NULL,NULL,1
P03-4B,33.180,-4.076,P03-4b,21/02/2007 07:29:00,33.18039,-4.07642,NULL,NULL,NULL,1
P10-1,33.254,-3.829,P10-1,22/02/2007 06:59:00,33.25445,-3.8293,NULL,NULL,NULL,1
P03-5,33.176,-4.021,P03-5,22/02/2007 08:12:00,33.1755,-4.02089,NULL,NULL,NULL,1
P04-C,33.221,-3.950,P04c,22/02/2007 17:34:00,33.22089,-3.95048,NULL,NULL,NULL,1
P08-C,33.207,-3.982,P08c,24/02/2007 07:05:00,33.20717,-3.98211,NULL,NULL,NULL,1
P12-1,33.291,-3.783,P12-1,28/02/2007 06:36:00,33.29143,-3.78331,NULL,NULL,NULL,1
P02-3,33.120,-4.008,P02-3,1/3/2007 8:00,33.11964,-4.008,NULL,NULL,NULL,1
P12-3,33.304,-3.824,P12-3,13/03/2007 07:16:00,33.30424,-3.8242,NULL,NULL,NULL,1
P06-6,33.221,-3.985,P06-6,23/03/2007 16:37:00,33.22106,-3.98526,NULL,NULL,NULL,1
P03-3,33.145,-3.994,P03-3,30/03/2007 06:43:00,33.14457,-3.99378,NULL,NULL,NULL,1
P09-3,33.243,-3.875,P09-3,7/4/2007 7:22,33.24265,-3.87467,NULL,NULL,NULL,1
P09-5,33.262,-3.912,P09-5,7/4/2007 8:05,33.26152,-3.91198,NULL,NULL,NULL,1
P02-1,33.100,-3.968,P02-1,10/4/2007 6:01,33.10033,-3.96792,NULL,NULL,NULL,1
P05-5,33.181,-3.979,P05-5,14/04/2007 06:36:00,33.18114,-3.97949,NULL,NULL,NULL,1
P07-3,33.217,-3.912,P07-3,25/04/2007 17:14:00,33.21661,-3.91157,NULL,NULL,NULL,1
P02-4,33.133,-4.024,P02-4,3/5/2007 6:48,33.13312,-4.02376,NULL,NULL,NULL,1
P07-6,33.246,-3.965,P07-6,4/5/2007 7:10,33.24637,-3.9645,NULL,NULL,NULL,1
P07-5,33.235,-3.948,P07-5,16/05/2007 06:50:00,33.23492,-3.94798,NULL,NULL,NULL,1
P11-2,33.269,-3.846,P11-2,16/02/2005 08:10:00,33.26859,-3.84598,05P03S,33.27891,-3.86801,1
P09-1,33.228,-3.835,P09-1,17/02/2005 00:00:00,33.22805,-3.83545,NULL,NULL,NULL,1
P06-4,33.206,-3.941,P06-4,22/02/2005 08:30:00,33.2056,-3.94079,05P06S,33.20381,-3.95458,1
P09-5,33.262,-3.912,P09-5,3/3/2005 8:50,33.26152,-3.91198,05P14N,33.27332,-3.92492,1
P03-2,33.131,-3.977,P03-2,25/03/2005 00:00:00,33.13055,-3.97684,NULL,NULL,NULL,1
P03-5B,33.163,-4.082,P03-5B,29/03/2005 00:00:00,33.16251,-4.08175,NULL,NULL,NULL,1
P02-2,33.110,-3.988,P02-2,8/4/2005 0:00,33.10997,-3.98805,NULL,NULL,NULL,1
P04-6,33.184,-4.004,P04-6,11/4/2005 0:00,33.18443,-4.00404,NULL,NULL,NULL,1
P03-1B,33.158,-4.020,P03-1B,12/4/2005 0:00,33.15829,-4.02029,NULL,NULL,NULL,1
P03-5B,33.163,-4.082,P03-5B,12/4/2005 0:00,33.16251,-4.08175,NULL,NULL,NULL,1
P07-7,33.255,-3.993,P07-7,15/04/2005 00:00:00,33.25453,-3.99276,NULL,NULL,NULL,1
P10-2,33.268,-3.845,P10-2,13/05/2005 00:00:00,33.26789,-3.8452,NULL,NULL,NULL,1
P13-3,33.326,-3.782,P13-3,13/05/2005 00:00:00,33.3264,-3.78209,NULL,NULL,NULL,1
P02-1,33.100,-3.968,P02-1,18/02/2005 00:00:00,33.10033,-3.96792,NULL,NULL,NULL,1
P12-3,33.304,-3.824,P12-3,26/03/2005 00:00:00,33.30424,-3.8242,NULL,NULL,NULL,1
P05-4B,33.174,-3.949,P05-4B,12/3/2005 8:10,33.17422,-3.94921,05P26S,33.16559,-3.97344,1
P04-3,33.156,-3.955,P04-3,11/4/2005 6:40,33.15564,-3.95461,05P05Y,33.16523,-3.97347,1
P04-7,33.196,-4.020,P04-7,11/4/2005 0:00,33.19569,-4.02047,NULL,NULL,NULL,1
P04-8,33.202,-4.033,P04-8,11/4/2005 0:00,33.20248,-4.03304,NULL,NULL,NULL,1
P09-8,33.285,-3.976,P09-8,13/04/2005 00:00:00,33.2847,-3.97554,NULL,NULL,NULL,1
P05-7B,33.181,-4.030,P05-7B,25/03/2005 00:00:00,33.18125,-4.02987,NULL,NULL,NULL,1
P04-4,33.166,-3.973,P04-4,28/03/2005 07:45:00,33.16576,-3.97293,05P13O,33.15256,-3.98707,1
P03-1B,33.158,-4.020,P03-1B,29/03/2005 00:00:00,33.15829,-4.02029,NULL,NULL,NULL,1
P11-3,33.281,-3.863,P11-3,7/4/2005 7:50,33.28109,-3.86344,05P43N,33.28905,-3.85785,1
P10-2,33.268,-3.845,P10-2,29/04/2005 00:00:00,33.26789,-3.8452,NULL,NULL,NULL,1
P11-2,33.269,-3.846,P11-2,4/5/2005 0:00,33.26859,-3.84598,NULL,NULL,NULL,1
P11-4,33.295,-3.882,P11-4,4/5/2005 0:00,33.29457,-3.88211,NULL,NULL,NULL,1
P04-5,33.176,-3.991,P04-5,10/5/2005 0:00,33.17586,-3.9908,NULL,NULL,NULL,1
