Refernce_Point_Name,Refernce_Point_Latitude,Refernce_Point_Longitude
AKK003,29.124,-8.413
AKK004,29.124,-8.383
AKK006,29.149,-8.415
AKK007,29.149,-8.383
AKK008,29.150,-8.355
AKK011,29.177,-8.444
AKK012,29.177,-8.412
AKK013,29.176,-8.383
AKK014,29.176,-8.352
AKK015,29.177,-8.320
AKK017,29.203,-8.475
AKK018,29.203,-8.445
AKK019,29.203,-8.415
AKK021,29.201,-8.350
AKK022,29.203,-8.322
AKK023,29.204,-8.293
AKK026,29.231,-8.475
AKK027,29.231,-8.444
AKK028,29.228,-8.414
AKK029,29.231,-8.384
AKK030,29.230,-8.352
AKK032,29.230,-8.290
AKK035,29.258,-8.444
AKK036,29.258,-8.413
AKK037,29.259,-8.382
AKK038,29.257,-8.352
AKK039,29.260,-8.321
AKK041,29.257,-8.259
AKK042,29.259,-8.231
AKK043,29.255,-8.199
AKK045,29.285,-8.413
AKK046,29.285,-8.382
AKK047,29.283,-8.350
AKK048,29.284,-8.321
AKK049,29.284,-8.289
AKK050,29.283,-8.257
AKK051,29.282,-8.226
AKK052,29.284,-8.198
AKK055,29.312,-8.352
AKK056,29.311,-8.320
AKK057,29.313,-8.288
AKK058,29.311,-8.258
AKK063,29.338,-8.260
AKK064,29.339,-8.227
BAT001,33.069,-4.011
BAT002,33.096,-4.011
BAT003,33.096,-3.978
BAT004,33.124,-4.074
BAT005,33.123,-4.044
BAT006,33.123,-4.011
BAT007,33.123,-3.977
BAT008,33.123,-3.946
BAT009,33.151,-4.077
BAT010,33.149,-4.045
BAT011,33.150,-4.011
BAT012,33.150,-3.977
BAT013,33.150,-3.946
BAT014,33.150,-3.914
BAT015,33.175,-4.106
BAT016,33.177,-4.075
BAT017,33.178,-4.041
BAT018,33.176,-4.010
BAT019,33.177,-3.978
BAT020,33.176,-3.946
BAT021,33.178,-3.914
BAT022,33.204,-4.139
BAT025,33.203,-4.045
BAT026,33.207,-4.010
BAT027,33.206,-3.979
BAT028,33.204,-3.947
BAT029,33.203,-3.914
BAT030,33.204,-3.882
BAT033,33.230,-4.047
BAT034,33.231,-4.011
BAT035,33.233,-3.976
BAT036,33.230,-3.948
BAT037,33.231,-3.914
BAT038,33.231,-3.882
BAT039,33.231,-3.849
BAT043,33.260,-3.979
BAT044,33.258,-3.946
BAT045,33.258,-3.915
BAT046,33.258,-3.881
BAT047,33.258,-3.850
BAT048,33.259,-3.816
BAT051,33.285,-3.978
BAT052,33.285,-3.946
BAT053,33.286,-3.914
BAT054,33.286,-3.882
BAT055,33.285,-3.850
BAT056,33.286,-3.817
BAT059,33.312,-3.978
BAT060,33.313,-3.949
BAT061,33.313,-3.913
BAT062,33.312,-3.882
BAT063,33.311,-3.849
BAT064,33.312,-3.817
BAT065,33.313,-3.784
BAT067,33.345,-3.945
BAT068,33.336,-3.913
BAT069,33.339,-3.882
BAT070,33.339,-3.847
BAT071,33.338,-3.819
BAT072,33.338,-3.786
BAT502,33.109,-3.993
BAT504,33.136,-4.026
BAT505,33.136,-3.994
BAT506,33.136,-3.961
BAT509,33.162,-4.026
