Reference_Observation_Point_Name,Reference_Observation_Point_Latitude,Reference_Observation_Point_Longitude,Real_Observation_Point_Name,Real_Observation_Point_Date,Real_Observation_Point_Latitude,Real_Observation_Point_Longitude,Houbara_Observation_Station_Name,Houbara_Observation_Station_Latitude,Houbara_Observation_Station_Longitude,Houbara_Number
BAT001,33.069,-4.011,BA01,5/11/2001 6:27,33.06895,-4.01065,NULL,NULL,NULL,NULL
BAT002,33.096,-4.011,BA02,5/11/2001 7:21,33.096,-4.01069,NULL,NULL,NULL,NULL
BAT003,33.096,-3.978,BA03,5/11/2001 8:12,33.09611,-3.97753,NULL,NULL,NULL,NULL
BAT006,33.123,-4.011,BA06,5/11/2001 9:13,33.12289,-4.01065,NULL,NULL,NULL,NULL
BAT005,33.123,-4.044,BA05,5/11/2001 9:57,33.12287,-4.04379,NULL,NULL,NULL,NULL
BAT004,33.124,-4.074,BA04,5/11/2001 10:57,33.12361,-4.0744,NULL,NULL,NULL,NULL
BAT010,33.149,-4.045,BA10,5/11/2001 14:50,33.14917,-4.04508,NULL,NULL,NULL,NULL
BAT009,33.151,-4.077,BA09,5/11/2001 15:40,33.15069,-4.07737,NULL,NULL,NULL,NULL
BAT015,33.175,-4.106,BA15,5/11/2001 16:36,33.17544,-4.10637,NULL,NULL,NULL,NULL
BAT008,33.123,-3.946,BA08,6/11/2001 7:05,33.12297,-3.94611,NULL,NULL,NULL,NULL
BAT007,33.123,-3.977,BA07,6/11/2001 7:22,33.12343,-3.97685,BA07A,33.13762,-3.99764,1
BAT007,33.123,-3.977,BA07,6/11/2001 7:22,33.12343,-3.97685,BA07B,33.13806,-4.00568,1
BAT011,33.150,-4.011,BA11,6/11/2001 8:52,33.15022,-4.0105,BA11A,33.152,-4.00644,1
BAT012,33.150,-3.977,BA12,6/11/2001 9:46,33.15045,-3.97739,NULL,NULL,NULL,NULL
BAT030,33.204,-3.882,BA30,7/11/2001 6:42,33.20392,-3.8817,BA30D,33.19701,-3.89104,2
BAT030,33.204,-3.882,BA30,7/11/2001 6:42,33.20392,-3.8817,BA30C,33.20101,-3.90121,1
BAT030,33.204,-3.882,BA30,7/11/2001 6:42,33.20392,-3.8817,BA30B,33.20442,-3.8875,1
BAT030,33.204,-3.882,BA30,7/11/2001 6:42,33.20392,-3.8817,BA30A,33.20957,-3.87975,1
BAT029,33.203,-3.914,BA29,7/11/2001 8:28,33.203,-3.91404,BA29A,33.21375,-3.90515,1
BAT028,33.204,-3.947,BA28,7/11/2001 9:28,33.20393,-3.9466,NULL,NULL,NULL,NULL
BAT027,33.206,-3.979,BA27,7/11/2001 15:04,33.20591,-3.97875,NULL,NULL,NULL,NULL
BAT035,33.233,-3.976,BA35,7/11/2001 15:56,33.23252,-3.97645,NULL,NULL,NULL,NULL
BAT034,33.231,-4.011,BA34,7/11/2001 17:20,33.23141,-4.01072,NULL,NULL,NULL,NULL
BAT014,33.150,-3.914,BA14,8/11/2001 6:41,33.15006,-3.91399,NULL,NULL,NULL,NULL
BAT013,33.150,-3.946,BA13,8/11/2001 7:29,33.14982,-3.94629,NULL,NULL,NULL,NULL
BAT019,33.177,-3.978,BA19,8/11/2001 8:17,33.17704,-3.97836,NULL,NULL,NULL,NULL
BAT018,33.176,-4.010,BA18,8/11/2001 9:03,33.17571,-4.01002,NULL,NULL,NULL,NULL
BAT017,33.178,-4.041,BA17,8/11/2001 9:49,33.17846,-4.0408,NULL,NULL,NULL,NULL
BAT022,33.204,-4.139,BA22,8/11/2001 15:22,33.20413,-4.13936,NULL,NULL,NULL,NULL
BAT016,33.177,-4.075,BA16,8/11/2001 16:20,33.17702,-4.07512,NULL,NULL,NULL,NULL
BAT021,33.178,-3.914,BA21,9/11/2001 6:47,33.17768,-3.91403,BA21A,33.18764,-3.90761,1
BAT020,33.176,-3.946,BA20,9/11/2001 7:54,33.17639,-3.94605,BA20A,33.18419,-3.93247,2
BAT026,33.207,-4.010,BA26,9/11/2001 9:05,33.20691,-4.01015,NULL,NULL,NULL,NULL
BAT039,33.231,-3.849,BA39,12/11/2001 6:45,33.23139,-3.84888,NULL,NULL,NULL,NULL
BAT056,33.286,-3.817,BA56,12/11/2001 6:56,33.28622,-3.81741,NULL,NULL,NULL,NULL
BAT038,33.231,-3.882,BA38,12/11/2001 7:35,33.23109,-3.88164,NULL,NULL,NULL,NULL
BAT055,33.285,-3.850,BA55,12/11/2001 7:47,33.28457,-3.85007,NULL,NULL,NULL,NULL
BAT037,33.231,-3.914,BA37,12/11/2001 8:26,33.23144,-3.91379,NULL,NULL,NULL,NULL
BAT054,33.286,-3.882,BA54,12/11/2001 8:34,33.28559,-3.8816,NULL,NULL,NULL,NULL
BAT036,33.230,-3.948,BA36,12/11/2001 9:21,33.22996,-3.94786,NULL,NULL,NULL,NULL
BAT048,33.259,-3.816,BA48,13/11/2001 06:55:00,33.25862,-3.81641,NULL,NULL,NULL,NULL
BAT036,33.230,-3.948,BA36,13/11/2001 06:57:00,33.22996,-3.94786,BA36A,33.23875,-3.96555,1
BAT036,33.230,-3.948,BA36,13/11/2001 06:57:00,33.22996,-3.94786,BA36B,33.23234,-3.94292,1
BAT047,33.258,-3.850,BA47,13/11/2001 08:01:00,33.25814,-3.85002,NULL,NULL,NULL,NULL
BAT043,33.260,-3.979,BA43,13/11/2001 08:26:00,33.25971,-3.97913,NULL,NULL,NULL,NULL
BAT046,33.258,-3.881,BA46,13/11/2001 09:01:00,33.25801,-3.88109,NULL,NULL,NULL,NULL
BAT044,33.258,-3.946,BA44,13/11/2001 10:12:00,33.25805,-3.94637,BA44A,33.25968,-3.94118,1
BAT062,33.312,-3.882,BA62,13/11/2001 10:17:00,33.31217,-3.88151,NULL,NULL,NULL,NULL
BAT045,33.258,-3.915,BA45,13/11/2001 15:12:00,33.25808,-3.91458,BA45B,33.25715,-3.90033,1
BAT045,33.258,-3.915,BA45,13/11/2001 15:12:00,33.25808,-3.91458,BA45A,33.26595,-3.92319,2
BAT069,33.339,-3.882,BA69,13/11/2001 15:13:00,33.3385,-3.88167,NULL,NULL,NULL,NULL
BAT068,33.336,-3.913,BA68,13/11/2001 15:57:00,33.33561,-3.91336,NULL,NULL,NULL,NULL
BAT053,33.286,-3.914,BA53,13/11/2001 16:16:00,33.28576,-3.91355,BA53B,33.25304,-3.9095,2
BAT053,33.286,-3.914,BA53,13/11/2001 16:16:00,33.28576,-3.91355,BA53A,33.27221,-3.91197,1
BAT067,33.345,-3.945,BA67,13/11/2001 17:18:00,33.34481,-3.94538,NULL,NULL,NULL,NULL
BAT061,33.313,-3.913,BA61,14/11/2001 06:49:00,33.3132,-3.91261,NULL,NULL,NULL,NULL
BAT072,33.338,-3.786,BA72,14/11/2001 06:59:00,33.33759,-3.78638,NULL,NULL,NULL,NULL
BAT071,33.338,-3.819,BA71,14/11/2001 07:40:00,33.3382,-3.81905,NULL,NULL,NULL,NULL
BAT060,33.313,-3.949,BA60,14/11/2001 07:52:00,33.31345,-3.94918,NULL,NULL,NULL,NULL
BAT070,33.339,-3.847,BA70,14/11/2001 08:22:00,33.33877,-3.84667,NULL,NULL,NULL,NULL
BAT059,33.312,-3.978,BA59,14/11/2001 08:57:00,33.31239,-3.97838,NULL,NULL,NULL,NULL
BAT063,33.311,-3.849,BA63,14/11/2001 09:17:00,33.31144,-3.84942,NULL,NULL,NULL,NULL
BAT064,33.312,-3.817,BA64,14/11/2001 10:06:00,33.3122,-3.81705,NULL,NULL,NULL,NULL
BAT052,33.285,-3.946,BA52,14/11/2001 14:20:00,33.28472,-3.94645,NULL,NULL,NULL,NULL
BAT051,33.285,-3.978,BA51,14/11/2001 15:13:00,33.28501,-3.97789,NULL,NULL,NULL,NULL
BAT065,33.313,-3.784,BA65,14/11/2001 15:13:00,33.3129,-3.78435,NULL,NULL,NULL,NULL
BAT025,33.203,-4.045,BA25,14/11/2001 16:32:00,33.20311,-4.04473,NULL,NULL,NULL,NULL
BAT033,33.230,-4.047,BA33,15/11/2001 08:56:00,33.23041,-4.04655,NULL,NULL,NULL,NULL
OUI057,32.991,-3.947,OU57,20/11/2001 07:03:00,32.99097,-3.94737,NULL,NULL,NULL,NULL
