Nest_Name,Nest_Latitude,Nest_Longitude,Year_Discovered,Number_Of_Items,Camera_trap_deployed
96N01,32.834,-3.996,1996,3,No
96N02,33.130,-3.711,1996,3,No
96N03,32.819,-4.031,1996,3,No
96N04,33.281,-3.863,1996,3,No
96N05,33.284,-3.968,1996,3,No
96N06,33.537,-3.200,1996,4,No
96N07,33.132,-3.965,1996,3,No
96N08,33.113,-3.973,1996,3,No
96N09,33.299,-3.339,1996,3,No
96N10,33.280,-3.955,1996,3,No
97NA,33.247,-3.979,1997,2,No
97NB,33.129,-3.982,1997,3,No
97NC,33.171,-3.901,1997,3,No
97ND,33.224,-3.976,1997,3,No
97NE,33.246,-3.959,1997,3,No
97W01,32.145,-2.663,1997,2,No
97W02,33.345,-2.625,1997,2,No
97W03,33.650,-2.508,1997,2,No
97W04,33.704,-2.578,1997,2,No
97W05,33.463,-1.695,1997,2,No
97W06,32.911,-2.337,1997,3,No
97W07,33.008,-2.762,1997,2,No
97W08,32.703,-4.369,1997,3,No
97W09,33.109,-2.584,1997,3,No
97W10,33.321,-1.881,1997,3,No
97W11,33.109,-2.584,1997,2,No
97W12,33.308,-2.961,1997,3,No
97W13,33.166,-2.939,1997,3,No
97W14,33.296,-3.952,1997,2,No
97W15,33.261,-3.937,1997,2,No
97W16,32.299,-2.268,1997,3,No
97W17,33.231,-3.718,1997,2,No
97W18,33.120,-3.004,1997,3,No
97W19,33.244,-3.974,1997,2,No
97W20,33.328,-2.735,1997,3,No
97W21,33.338,-1.690,1997,2,No
97W22,33.121,-2.996,1997,2,No
97W23,33.124,-2.983,1997,2,No
97W24,33.122,-2.974,1997,3,No
97W25,33.310,-2.666,1997,2,No
97W26,33.124,-2.948,1997,3,No
97W27,33.032,-3.131,1997,2,No
97W28,33.043,-3.137,1997,3,No
97W29,33.048,-3.129,1997,2,No
97W30,33.143,-3.970,1997,2,No
97W31,33.176,-3.983,1997,1,No
98N01,33.231,-3.918,1998,,No
98N02,33.237,-3.904,1998,,No
98N03,33.295,-3.947,1998,,No
99N01,33.232,-3.914,1999,,No
00W01Y,33.521,-3.190,2000,2,No
01W10Y,33.131,-3.968,2001,,No
01W11Y,33.279,-3.918,2001,,No
01W12Y,32.538,-2.514,2001,2,No
01W13Y,33.287,-3.930,2001,,No
01W14Y,33.284,-3.942,2001,,No
01W15Y,33.264,-3.899,2001,,No
01W16Y,33.297,-3.948,2001,,No
01W17Y,33.276,-3.959,2001,,No
01W18Y,33.269,-3.941,2001,,No
01W19Y,33.253,-3.928,2001,,No
01W1Y,33.183,-3.924,2001,2,No
01W20Y,33.290,-3.942,2001,,No
01W21Y,33.281,-3.948,2001,,No
01W22Y,33.274,-3.963,2001,,No
01W23Y,33.267,-3.951,2001,,No
01W24Y,33.296,-3.920,2001,,No
01W25Y,33.296,-3.911,2001,,No
01W26Y,33.296,-3.902,2001,,No
01W27Y,33.297,-3.905,2001,,No
01W28Y,33.295,-3.903,2001,,No
01W29Y,33.288,-3.905,2001,,No
01W2Y,33.559,-3.182,2001,,No
01W30Y,33.299,-3.908,2001,,No
01W3Y,32.385,-2.257,2001,2,No
01W4Y,32.455,-2.456,2001,2,No
01W5Y,32.491,-2.519,2001,1,No
01W6Y,33.280,-3.866,2001,,No
01W7Y,33.296,-3.929,2001,,No
01W8Y,33.293,-3.932,2001,2,No
01W9Y,33.292,-3.936,2001,,No
02N01A,32.396,-2.222,2002,2,No
02N01E,33.273,-3.872,2002,2,No
02N01J,33.260,-3.958,2002,3,No
02N01M,32.546,-2.476,2002,3,No
02N01N,33.698,-3.034,2002,3,No
02N01P,32.722,-2.657,2002,2,No
02N01Y,33.263,-3.936,2002,3,No
02N02A,32.297,-2.424,2002,2,No
02N02E,33.295,-3.929,2002,3,No
02N02J,33.208,-3.908,2002,1,No
02N02M,32.485,-2.517,2002,2,No
02N02N,32.271,-2.393,2002,2,No
02N02P,33.117,-4.019,2002,3,No
02N02Y,33.183,-3.891,2002,3,No
02N03A,33.621,-3.213,2002,3,No
02N03E,33.116,-4.021,2002,1,No
02N03M,33.259,-3.058,2002,3,No
02N03N,32.436,-2.267,2002,2,No
02N03P,33.232,-4.009,2002,2,No
02N03Y,33.205,-3.812,2002,2,No
02N04A,32.393,-2.296,2002,2,No
02N04E,33.116,-4.021,2002,1,No
02N04M,32.914,-3.652,2002,2,No
02N04N,32.441,-2.320,2002,2,No
02N04P,33.034,-3.095,2002,2,No
02N04Y,33.260,-3.952,2002,,No
02N05A,33.186,-3.164,2002,2,No
02N05E,33.239,-3.934,2002,2,No
02N05M,32.918,-3.656,2002,1,No
02N05N,32.446,-2.339,2002,2,No
02N05P,33.100,-3.802,2002,2,No
02N05Y,33.262,-3.940,2002,2,No
02N06A,32.500,-2.512,2002,2,No
02N06E,33.255,-3.893,2002,2,No
02N06M,33.275,-3.963,2002,3,No
02N06N,32.782,-2.611,2002,2,No
02N06P,33.261,-3.053,2002,3,No
02N06Y,33.242,-3.956,2002,2,No
02N07A,33.084,-2.928,2002,2,No
02N07E,33.114,-3.806,2002,2,No
02N07M,33.104,-2.687,2002,2,No
02N07N,32.391,-2.260,2002,3,No
02N07P,33.294,-3.855,2002,3,No
02N07Y,33.692,-2.971,2002,2,No
