"Station","Code","Trap code","Coord.","Longitude","Latitude","Alt.","Date","Period","Fraction","Number","Dry weights (g)","Comments","Status"
"UB24SW1","REG","UB24SW11","N32.91747 W4.91167",32.91747,4.91167,1509,"4/25/2015","April","Messor",0,0,NA,"WT"
"UB24SW1","REG","UB24SW11","N32.91747 W4.91167",32.91747,4.91167,1509,"4/25/2015","April","Other",NA,1.74764,NA,"WT"
"UB24SW1","REG","UB24SW11","N32.91747 W4.91167",32.91747,4.91167,1509,"4/25/2015","April","Tenebrionidae Diet",8,0.70117,NA,"WT"
"UB24SW1","REG","UB24SW11","N32.91747 W4.91167",32.91747,4.91167,1509,"4/25/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"UB24SW1","REG","UB24SW12","N32.91754 W4.91112",32.91754,4.91112,1524,"4/25/2015","April","Messor",0,0,NA,"WT"
"UB24SW1","REG","UB24SW12","N32.91754 W4.91112",32.91754,4.91112,1524,"4/25/2015","April","Other",NA,0.48496,NA,"WT"
"UB24SW1","REG","UB24SW12","N32.91754 W4.91112",32.91754,4.91112,1524,"4/25/2015","April","Tenebrionidae Diet",3,1.21542,NA,"WT"
"UB24SW1","REG","UB24SW12","N32.91754 W4.91112",32.91754,4.91112,1524,"4/25/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"UB24SW1","REG","UB24SW13","N32.91713 W4.91102",32.91713,4.91102,1525,"4/25/2015","April","Messor",0,0,NA,"WT"
"UB24SW1","REG","UB24SW13","N32.91713 W4.91102",32.91713,4.91102,1525,"4/25/2015","April","Other",NA,1.29161,NA,"WT"
"UB24SW1","REG","UB24SW13","N32.91713 W4.91102",32.91713,4.91102,1525,"4/25/2015","April","Tenebrionidae Diet",3,1.71559,NA,"WT"
"UB24SW1","REG","UB24SW13","N32.91713 W4.91102",32.91713,4.91102,1525,"4/25/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"UB24SW1","REG","UB24SW14","N32.91705 W4.91159",32.91705,4.91159,1525,"4/25/2015","April","Messor",1,0.00077,NA,"WT"
"UB24SW1","REG","UB24SW14","N32.91705 W4.91159",32.91705,4.91159,1525,"4/25/2015","April","Other",NA,1.21525,NA,"WT"
"UB24SW1","REG","UB24SW14","N32.91705 W4.91159",32.91705,4.91159,1525,"4/25/2015","April","Tenebrionidae Diet",4,0.30214,NA,"WT"
"UB24SW1","REG","UB24SW14","N32.91705 W4.91159",32.91705,4.91159,1525,"4/25/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"UB24SW2","REG","UB24SW21","N32.91781 W4.88501",32.91781,4.88501,1517,"4/25/2015","April","Messor",0,0,NA,"WT"
"UB24SW2","REG","UB24SW21","N32.91781 W4.88501",32.91781,4.88501,1517,"4/25/2015","April","Other",NA,0.54576,NA,"WT"
"UB24SW2","REG","UB24SW21","N32.91781 W4.88501",32.91781,4.88501,1517,"4/25/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"UB24SW2","REG","UB24SW21","N32.91781 W4.88501",32.91781,4.88501,1517,"4/25/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"UB24SW2","REG","UB24SW22","N32.91751 W4.88460",32.91751,4.8846,1520,"4/25/2015","April","Messor",0,0,NA,"WT"
"UB24SW2","REG","UB24SW22","N32.91751 W4.88460",32.91751,4.8846,1520,"4/25/2015","April","Other",NA,0.25052,NA,"WT"
"UB24SW2","REG","UB24SW22","N32.91751 W4.88460",32.91751,4.8846,1520,"4/25/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"UB24SW2","REG","UB24SW22","N32.91751 W4.88460",32.91751,4.8846,1520,"4/25/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"UB24SW2","REG","UB24SW23","N32.91723 W4.88494",32.91723,4.88494,1515,"4/25/2015","April","Messor",10,0.00351,NA,"WT"
"UB24SW2","REG","UB24SW23","N32.91723 W4.88494",32.91723,4.88494,1515,"4/25/2015","April","Other",NA,0.11679,NA,"WT"
"UB24SW2","REG","UB24SW23","N32.91723 W4.88494",32.91723,4.88494,1515,"4/25/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"UB24SW2","REG","UB24SW23","N32.91723 W4.88494",32.91723,4.88494,1515,"4/25/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"UB24SW2","REG","UB24SW24","N32.91750 W4.88533",32.9175,4.88533,1511,"4/25/2015","April","Messor",0,0,NA,"WT"
"UB24SW2","REG","UB24SW24","N32.91750 W4.88533",32.9175,4.88533,1511,"4/25/2015","April","Other",NA,0.57458,NA,"WT"
"UB24SW2","REG","UB24SW24","N32.91750 W4.88533",32.9175,4.88533,1511,"4/25/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"UB24SW2","REG","UB24SW24","N32.91750 W4.88533",32.9175,4.88533,1511,"4/25/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"UB24SW3","EPA","UB24SW31","N32.89505 W4.88427",32.89505,4.88427,1446,"4/25/2015","April","Messor",0,0,NA,"WT"
"UB24SW3","EPA","UB24SW31","N32.89505 W4.88427",32.89505,4.88427,1446,"4/25/2015","April","Other",NA,3.4472,NA,"WT"
"UB24SW3","EPA","UB24SW31","N32.89505 W4.88427",32.89505,4.88427,1446,"4/25/2015","April","Tenebrionidae Diet",0,0,NA,"WT"
"UB24SW3","EPA","UB24SW31","N32.89505 W4.88427",32.89505,4.88427,1446,"4/25/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"UB24SW3","EPA","UB24SW32","N32.89506 W4.88386",32.89506,4.88386,1450,"4/25/2015","April","Messor",0,0,NA,"WT"
"UB24SW3","EPA","UB24SW32","N32.89506 W4.88386",32.89506,4.88386,1450,"4/25/2015","April","Other",NA,5.01021,NA,"WT"
"UB24SW3","EPA","UB24SW32","N32.89506 W4.88386",32.89506,4.88386,1450,"4/25/2015","April","Tenebrionidae Diet",2,0.07541,NA,"WT"
"UB24SW3","EPA","UB24SW32","N32.89506 W4.88386",32.89506,4.88386,1450,"4/25/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"UB24SW3","EPA","UB24SW33","N32.89465 W4.88406",32.89465,4.88406,1438,"4/25/2015","April","Messor",0,0,NA,"WT"
"UB24SW3","EPA","UB24SW33","N32.89465 W4.88406",32.89465,4.88406,1438,"4/25/2015","April","Other",NA,4.82102,NA,"WT"
"UB24SW3","EPA","UB24SW33","N32.89465 W4.88406",32.89465,4.88406,1438,"4/25/2015","April","Tenebrionidae Diet",1,0.34253,NA,"WT"
"UB24SW3","EPA","UB24SW33","N32.89465 W4.88406",32.89465,4.88406,1438,"4/25/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"UB24SW3","EPA","UB24SW34","N32.89477 W4.88454",32.89477,4.88454,1444,"4/25/2015","April","Messor",0,0,NA,"WT"
"UB24SW3","EPA","UB24SW34","N32.89477 W4.88454",32.89477,4.88454,1444,"4/25/2015","April","Other",NA,3.06886,NA,"WT"
"UB24SW3","EPA","UB24SW34","N32.89477 W4.88454",32.89477,4.88454,1444,"4/25/2015","April","Tenebrionidae Diet",1,0.03836,NA,"WT"
"UB24SW3","EPA","UB24SW34","N32.89477 W4.88454",32.89477,4.88454,1444,"4/25/2015","April","Tenebrionidae Other",0,0,NA,"WT"
"UB24SW4","EPA","UB24SW41","N32.89479 W4.91111",32.89479,4.91111,1463,"4/25/2015","April","Messor",0,0,NA,"WT"
"UB24SW4","EPA","UB24SW41","N32.89479 W4.91111",32.89479,4.91111,1463,"4/25/2015","April","Other",NA,0.28763,NA,"WT"
