Station,Habitat,Trap code,Coord.,Longitude,Latitude,Alt.,Date,Period,Fraction,Number,Dry weights (g),Comments,Status
VB17NW1,REG,VB17NW11,N33.24393 W3.95261,33.24393,3.95261,988,4/21/2015,April,Messor,2,0.00291,,NWT
VB17NW1,REG,VB17NW11,N33.24393 W3.95261,33.24393,3.95261,988,4/21/2015,April,Other,,0.0084,,NWT
VB17NW1,REG,VB17NW11,N33.24393 W3.95261,33.24393,3.95261,988,4/21/2015,April,Tenebrionidae Diet,0,0,Pot plein d'eau,NWT
VB17NW1,REG,VB17NW11,N33.24393 W3.95261,33.24393,3.95261,988,4/21/2015,April,Tenebrionidae Other,0,0,,NWT
VB17NW1,REG,VB17NW12,N33.24378 W3.95208,33.24378,3.95208,986,4/21/2015,April,Messor,0,0,,NWT
VB17NW1,REG,VB17NW12,N33.24378 W3.95208,33.24378,3.95208,986,4/21/2015,April,Other,,0.00097,,NWT
VB17NW1,REG,VB17NW12,N33.24378 W3.95208,33.24378,3.95208,986,4/21/2015,April,Tenebrionidae Diet,0,0,Pot plein d'eau,NWT
VB17NW1,REG,VB17NW12,N33.24378 W3.95208,33.24378,3.95208,986,4/21/2015,April,Tenebrionidae Other,0,0,,NWT
VB17NW1,REG,VB17NW13,N33.24335 W3.95221,33.24335,3.95221,986,4/21/2015,April,Messor,0,0,,NWT
VB17NW1,REG,VB17NW13,N33.24335 W3.95221,33.24335,3.95221,986,4/21/2015,April,Other,,0.00102,,NWT
VB17NW1,REG,VB17NW13,N33.24335 W3.95221,33.24335,3.95221,986,4/21/2015,April,Tenebrionidae Diet,0,0,Pot plein d'eau,NWT
VB17NW1,REG,VB17NW13,N33.24335 W3.95221,33.24335,3.95221,986,4/21/2015,April,Tenebrionidae Other,0,0,,NWT
VB17NW1,REG,VB17NW14,N33.24348 W3.95279,33.24348,3.95279,987,4/21/2015,April,Messor,0,0,,NWT
VB17NW1,REG,VB17NW14,N33.24348 W3.95279,33.24348,3.95279,987,4/21/2015,April,Other,,0.01117,,NWT
VB17NW1,REG,VB17NW14,N33.24348 W3.95279,33.24348,3.95279,987,4/21/2015,April,Tenebrionidae Diet,0,0,Pot plein d'eau,NWT
VB17NW1,REG,VB17NW14,N33.24348 W3.95279,33.24348,3.95279,987,4/21/2015,April,Tenebrionidae Other,0,0,,NWT
VB17NW2,REG,VB17NW21,N33.24432 W3.92586,33.24432,3.92586,938,4/21/2015,April,Messor,0,0,,NWT
VB17NW2,REG,VB17NW21,N33.24432 W3.92586,33.24432,3.92586,938,4/21/2015,April,Other,,0.00574,,NWT
VB17NW2,REG,VB17NW21,N33.24432 W3.92586,33.24432,3.92586,938,4/21/2015,April,Tenebrionidae Diet,0,0,Pot plein d'eau,NWT
VB17NW2,REG,VB17NW21,N33.24432 W3.92586,33.24432,3.92586,938,4/21/2015,April,Tenebrionidae Other,0,0,,NWT
VB17NW2,REG,VB17NW22,N33.24417 W3.92532,33.24417,3.92532,940,4/21/2015,April,Messor,0,0,,NWT
