Station,Habitat,Trap code,Coord.,Alt.,Date,Period,Fraction,Number,Dry weights (g),Comments,Status
ALBALF1,ALF,ALBALF11,N33.20048 W4.03557,1089,4/15/2019,April,Messor,0,0,,WT
ALBALF1,ALF,ALBALF11,N33.20048 W4.03557,1089,4/15/2019,April,Other,,0.31287,,WT
ALBALF1,ALF,ALBALF11,N33.20048 W4.03557,1089,4/15/2019,April,Tenebrionidae Diet,0,0,,WT
ALBALF1,ALF,ALBALF11,N33.20048 W4.03557,1089,4/15/2019,April,Tenebrionidae Other,0,0,,WT
ALBALF1,ALF,ALBALF12,N33.20020 W4.03522,1086,4/15/2019,April,Messor,0,0,,WT
ALBALF1,ALF,ALBALF12,N33.20020 W4.03522,1086,4/15/2019,April,Other,,0.01998,,WT
ALBALF1,ALF,ALBALF12,N33.20020 W4.03522,1086,4/15/2019,April,Tenebrionidae Diet,0,0,,WT
ALBALF1,ALF,ALBALF12,N33.20020 W4.03522,1086,4/15/2019,April,Tenebrionidae Other,0,0,,WT
ALBALF1,ALF,ALBALF13,N33.19983 W4.03558,1080,4/15/2019,April,Messor,0,0,,WT
ALBALF1,ALF,ALBALF13,N33.19983 W4.03558,1080,4/15/2019,April,Other,,0.0413,,WT
ALBALF1,ALF,ALBALF13,N33.19983 W4.03558,1080,4/15/2019,April,Tenebrionidae Diet,0,0,,WT
ALBALF1,ALF,ALBALF13,N33.19983 W4.03558,1080,4/15/2019,April,Tenebrionidae Other,0,0,,WT
ALBALF1,ALF,ALBALF14,N33.20018 W4.03589,1089,4/15/2019,April,Messor,0,0,,WT
ALBALF1,ALF,ALBALF14,N33.20018 W4.03589,1089,4/15/2019,April,Other,,0.02563,,WT
ALBALF1,ALF,ALBALF14,N33.20018 W4.03589,1089,4/15/2019,April,Tenebrionidae Diet,1,0.04331,,WT
ALBALF1,ALF,ALBALF14,N33.20018 W4.03589,1089,4/15/2019,April,Tenebrionidae Other,0,0,,WT
ALBLDD+1,WED,ALBLDD+11,N33.13890 W3.98580,918,4/15/2019,April,Messor,3,0.00314,,WT
ALBLDD+1,WED,ALBLDD+11,N33.13890 W3.98580,918,4/15/2019,April,Other,,0.05348,,WT
ALBLDD+1,WED,ALBLDD+11,N33.13890 W3.98580,918,4/15/2019,April,Tenebrionidae Diet,0,0,,WT
ALBLDD+1,WED,ALBLDD+11,N33.13890 W3.98580,918,4/15/2019,April,Tenebrionidae Other,0,0,,WT
ALBLDD+1,WED,ALBLDD+12,N33.13904 W3.98650,914,4/15/2019,April,Messor,1,0.00175,,WT
ALBLDD+1,WED,ALBLDD+12,N33.13904 W3.98650,914,4/15/2019,April,Other,,0.10098,,WT
ALBLDD+1,WED,ALBLDD+12,N33.13904 W3.98650,914,4/15/2019,April,Tenebrionidae Diet,0,0,,WT
ALBLDD+1,WED,ALBLDD+12,N33.13904 W3.98650,914,4/15/2019,April,Tenebrionidae Other,0,0,,WT
ALBLDD+1,WED,ALBLDD+13,N33.13910 W3.98701,908,4/15/2019,April,Messor,0,0,,WT
ALBLDD+1,WED,ALBLDD+13,N33.13910 W3.98701,908,4/15/2019,April,Other,,0.0645,,WT
ALBLDD+1,WED,ALBLDD+13,N33.13910 W3.98701,908,4/15/2019,April,Tenebrionidae Diet,0,0,,WT
ALBLDD+1,WED,ALBLDD+13,N33.13910 W3.98701,908,4/15/2019,April,Tenebrionidae Other,0,0,,WT
ALBLDD+1,WED,ALBLDD+14,N33.13922 W3.98748,926,4/15/2019,April,Messor,0,0,,WT
ALBLDD+1,WED,ALBLDD+14,N33.13922 W3.98748,926,4/15/2019,April,Other,,0.06454,,WT
ALBLDD+1,WED,ALBLDD+14,N33.13922 W3.98748,926,4/15/2019,April,Tenebrionidae Diet,0,0,,WT
ALBLDD+1,WED,ALBLDD+14,N33.13922 W3.98748,926,4/15/2019,April,Tenebrionidae Other,0,0,,WT
ALBLDD1,WED,ALBLDD11,N33.17198 W3.97856,958,4/15/2019,April,Messor,0,0,,WT
ALBLDD1,WED,ALBLDD11,N33.17198 W3.97856,958,4/15/2019,April,Other,,0.02894,,WT
ALBLDD1,WED,ALBLDD11,N33.17198 W3.97856,958,4/15/2019,April,Tenebrionidae Diet,1,0.05095,,WT
ALBLDD1,WED,ALBLDD11,N33.17198 W3.97856,958,4/15/2019,April,Tenebrionidae Other,0,0,,WT
ALBLDD1,WED,ALBLDD12,N33.17232 W3.97776,956,4/15/2019,April,Messor,0,0,,WT
ALBLDD1,WED,ALBLDD12,N33.17232 W3.97776,956,4/15/2019,April,Other,,0.0146,,WT
ALBLDD1,WED,ALBLDD12,N33.17232 W3.97776,956,4/15/2019,April,Tenebrionidae Diet,0,0,,WT
ALBLDD1,WED,ALBLDD12,N33.17232 W3.97776,956,4/15/2019,April,Tenebrionidae Other,0,0,,WT
ALBLDD1,WED,ALBLDD13,N33.17216 W3.97769,957,4/15/2019,April,Messor,0,0,,WT
ALBLDD1,WED,ALBLDD13,N33.17216 W3.97769,957,4/15/2019,April,Other,,0.00971,,WT
ALBLDD1,WED,ALBLDD13,N33.17216 W3.97769,957,4/15/2019,April,Tenebrionidae Diet,0,0,,WT
ALBLDD1,WED,ALBLDD13,N33.17216 W3.97769,957,4/15/2019,April,Tenebrionidae Other,0,0,,WT
ALBLDD1,WED,ALBLDD14,N33.17182 W3.97850,958,4/15/2019,April,Messor,0,0,,WT
ALBLDD1,WED,ALBLDD14,N33.17182 W3.97850,958,4/15/2019,April,Other,,0.10582,,WT
ALBLDD1,WED,ALBLDD14,N33.17182 W3.97850,958,4/15/2019,April,Tenebrionidae Diet,0,0,,WT
ALBLDD1,WED,ALBLDD14,N33.17182 W3.97850,958,4/15/2019,April,Tenebrionidae Other,0,0,,WT
ALBREG1,REG,ALBREG11,N33.14206 W3.94076,900,4/15/2019,April,Messor,0,0,,WT
ALBREG1,REG,ALBREG11,N33.14206 W3.94076,900,4/15/2019,April,Other,,0.02403,,WT
ALBREG1,REG,ALBREG11,N33.14206 W3.94076,900,4/15/2019,April,Tenebrionidae Diet,0,0,,WT
ALBREG1,REG,ALBREG11,N33.14206 W3.94076,900,4/15/2019,April,Tenebrionidae Other,0,0,,WT
ALBREG1,REG,ALBREG12,N33.14213 W3.94027,899,4/15/2019,April,Messor,0,0,,WT
ALBREG1,REG,ALBREG12,N33.14213 W3.94027,899,4/15/2019,April,Other,,0.07631,,WT
ALBREG1,REG,ALBREG12,N33.14213 W3.94027,899,4/15/2019,April,Tenebrionidae Diet,1,0.03988,,WT
ALBREG1,REG,ALBREG12,N33.14213 W3.94027,899,4/15/2019,April,Tenebrionidae Other,0,0,,WT
ALBREG1,REG,ALBREG13,N33.14170 W3.94022,898,4/15/2019,April,Messor,0,0,,WT
ALBREG1,REG,ALBREG13,N33.14170 W3.94022,898,4/15/2019,April,Other,,0.0109,,WT
ALBREG1,REG,ALBREG13,N33.14170 W3.94022,898,4/15/2019,April,Tenebrionidae Diet,0,0,,WT
ALBREG1,REG,ALBREG13,N33.14170 W3.94022,898,4/15/2019,April,Tenebrionidae Other,0,0,,WT
ALBREG1,REG,ALBREG14,N33.14163 W3.94069,900,4/15/2019,April,Messor,0,0,,WT
ALBREG1,REG,ALBREG14,N33.14163 W3.94069,900,4/15/2019,April,Other,,0.01142,,WT
ALBREG1,REG,ALBREG14,N33.14163 W3.94069,900,4/15/2019,April,Tenebrionidae Diet,0,0,,WT
ALBREG1,REG,ALBREG14,N33.14163 W3.94069,900,4/15/2019,April,Tenebrionidae Other,0,0,,WT
ALBSEP1,EPA,ALBSEP11,N33.14994 W3.94155,904,4/15/2019,April,Messor,0,0,,WT
ALBSEP1,EPA,ALBSEP11,N33.14994 W3.94155,904,4/15/2019,April,Other,,0.01889,,WT
ALBSEP1,EPA,ALBSEP11,N33.14994 W3.94155,904,4/15/2019,April,Tenebrionidae Diet,0,0,,WT
ALBSEP1,EPA,ALBSEP11,N33.14994 W3.94155,904,4/15/2019,April,Tenebrionidae Other,0,0,,WT
ALBSEP1,EPA,ALBSEP12,N33.14993 W3.94105,904,4/15/2019,April,Messor,0,0,,WT
ALBSEP1,EPA,ALBSEP12,N33.14993 W3.94105,904,4/15/2019,April,Other,,0.02535,,WT
ALBSEP1,EPA,ALBSEP12,N33.14993 W3.94105,904,4/15/2019,April,Tenebrionidae Diet,0,0,,WT
ALBSEP1,EPA,ALBSEP12,N33.14993 W3.94105,904,4/15/2019,April,Tenebrionidae Other,0,0,,WT
ALBSEP1,EPA,ALBSEP13,N33.14947 W3.94111,906,4/15/2019,April,Messor,0,0,,WT
