Station,Code,Habitat,Trap.code,Coord.,Longitude,Latitude,Alt.,Date,Period,Fraction,Number,Dry.weights..g.,Comments,Status
ALBALF1,ALF,Macrochloa steppe,ALBALF11,N33.20048 W4.03557,NA,NA,1089,4/20/2016,April,Messor,1,0.00506,NA,WT
ALBALF2,ALF,Macrochloa steppe,ALBALF21,N33.25854 W3.98782,NA,NA,1094,4/21/2016,April,Messor,0,0,NA,WT
ALBALF3,ALF,Macrochloa steppe,ALBALF31,N33.29622 W3.94857,NA,NA,1063,4/22/2016,April,Messor,7,0.01697,NA,WT
ALBLDD+1,WED,Gully,ALBLDD+11,N33.13890 W3.98580,NA,NA,918,4/17/2017,April,Messor,1,0.00175,NA,WT
ALBLDD+2,WED,Gully,ALBLDD+21,N33.21354 W3.88668,NA,NA,854,4/18/2017,April,Messor,0,0,NA,WT
ALBLDD+3,WED,Gully,ALBLDD+31,N33.30579 W3.76757,NA,NA,839,4/19/2017,April,Messor,1,0.00215,NA,WT
ALBLDD1,WED,Gully,ALBLDD11,N33.17198 W3.97856,NA,NA,958,4/20/2016,April,Messor,0,0,NA,WT
ALBLDD2,WED,Gully,ALBLDD21,N33.21501 W3.91351,NA,NA,894,4/21/2016,April,Messor,2,0.0035,NA,WT
ALBLDD3,WED,Gully,ALBLDD31,N33.26425 W3.84328,NA,NA,859,4/22/2016,April,Messor,2,0.00349,NA,WT
ALBREG1,REG,Reg,ALBREG11,N33.14206 W3.94076,NA,NA,900,4/20/2016,April,Messor,0,0,NA,WT
ALBREG3,REG,Reg,ALBREG31,N33.28377 W3.89446,NA,NA,947,4/22/2016,April,Messor,0,0,NA,WT
ALBSEP1,EPA,Alluvial spread area,ALBSEP11,N33.14994 W3.94155,NA,NA,904,4/20/2016,April,Messor,1,0.00215,NA,WT
ALBSEP2,EPA,Alluvial spread area,ALBSEP21,N33.22212 W3.93078,NA,NA,937,4/21/2016,April,Messor,0,0,NA,WT
ALBSEP3,EPA,Alluvial spread area,ALBSEP31,N33.21350 W3.86017,NA,NA,840,4/22/2016,April,Messor,0,0,NA,WT
BOUEX1,EPA,Alluvial spread area,BOUEX11,N32.41994 W2.25883,NA,NA,1051,7/21/2016,June,Messor,33,0.03822,NA,WT
BOUEX2,EPA,Alluvial spread area,BOUEX21,N32.42931 W2.27659,NA,NA,1052,4/27/2016,April,Messor,7,0.01208,NA,WT
BOUIN1,EPA,Alluvial spread area,BOUIN11,N32.41454 W2.27271,NA,NA,1050,4/27/2016,April,Messor,10,0.00885,NA,WT
BOUIN2,EPA,Alluvial spread area,BOUIN21,N32.41817 W2.27557,NA,NA,1050,4/27/2016,April,Messor,6,0.00999,NA,WT
ENJEX1,REG,Reg,ENJEX11,N33.12997 W4.55792,NA,NA,1614,5/13/2016,April,Messor,6,0.01125,NA,WT
ENJEX2,REG,Reg,ENJEX21,N33.10787 W4.60665,NA,NA,1595,5/13/2016,April,Messor,4,0.00393,NA,WT
ENJEX3,REG,Reg,ENJEX31,N33.15244 W4.61029,NA,NA,1634,7/22/2016,June,Messor,0,0,NA,WT
ENJIN1,REG,Reg,ENJIN11,N33.13856 W4.57177,NA,NA,1618,5/13/2016,April,Messor,43,0.04957,NA,WT
ENJIN2,REG,Reg,ENJIN21,N33.12326 W4.59888,NA,NA,1609,5/13/2016,April,Messor,1,0.00181,NA,WT
ENJIN3,REG,Reg,ENJIN31,N33.14694 W4.59572,NA,NA,1623,5/13/2016,April,Messor,7,0.00636,NA,WT
FredoliaStep4,REG,Reg,FredoliaStep41,N32.34937 W2.27429,NA,NA,1029,4/19/2017,April,Messor,0,0,NA,WT
FredoliaStep5,REG,Reg,FredoliaStep51,N32.35335 W2.26128,NA,NA,1032,4/19/2017,April,Messor,0,0,NA,WT
LDDACACIA3,WED,Gully,LDDACACIA31,N29.16283 W8.53285,NA,NA,443,4/20/2017,April,Messor,1,0.00045,NA,WT
LDDACACIA4,WED,Gully,LDDACACIA41,N29.17995 W8.54078,NA,NA,450,4/20/2017,April,Messor,1,0.00115,NA,WT
LDDACACIA5,WED,Gully,LDDACACIA51,N29.22661 W8.51205,NA,NA,461,4/20/2017,April,Messor,0,0,NA,WT
MAAEX1,REG,Reg,MAAEX11,N33.24164 W2.74172,NA,NA,1299,5/12/2016,April,Messor,38,0.0415,NA,WT
MAAIN1,REG,Reg,MAAIN11,N33.25655 W2.73076,NA,NA,1293,5/12/2016,April,Messor,530,0.82666,NA,WT
MISEX1,REG,Reg,MISEX11,N33.01810 W4.11342,NA,NA,997,4/28/2016,April,Messor,0,0,NA,WT
MISEX2,REG,Reg,MISEX21,N33.01910 W4.08049,NA,NA,967,4/28/2016,April,Messor,3,0.00721,NA,WT
MISEX3,REG,Reg,MISEX31,N33.00697 W4.12327,NA,NA,1014,4/28/2016,April,Messor,0,0,NA,WT
