"Station","Lat","Lon","Year","Season","Alive","Dead","Ground","Unknown","Sum.not.unknown","GridSize","F_alive","F_dead","F_veg","F_ground","Habitat"
"ALBALF1",33.20027,-4.03529,2016,"Spring",1,5,354,0,360,360,0.002777778,0.013888889,0.016666667,0.983333333,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2016,"Summer",1,8,350,1,359,360,0.002785515,0.022284123,0.025069638,0.974930362,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2016,"Fall",0,14,342,4,356,360,0,0.039325843,0.039325843,0.960674157,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2016,"Winter",0,6,354,0,360,360,0,0.016666667,0.016666667,0.983333333,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2017,"Spring",3,7,700,10,710,720,0.004225352,0.009859155,0.014084507,0.985915493,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2017,"Summer",6,21,689,4,716,720,0.008379888,0.029329609,0.037709497,0.962290503,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2017,"Fall",0,2,665,53,667,720,0,0.002998501,0.002998501,0.997001499,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2017,"Winter",6,28,684,2,718,720,0.008356546,0.038997214,0.04735376,0.95264624,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2018,"Spring",5,9,1059,7,1073,1080,0.004659832,0.008387698,0.01304753,0.98695247,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2018,"Summer",10,38,1746,6,1794,1800,0.005574136,0.021181717,0.026755853,0.973244147,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2018,"Fall",3,13,1057,7,1073,1080,0.002795899,0.012115564,0.014911463,0.985088537,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2018,"Winter",1,18,1050,11,1069,1080,0.000935454,0.016838167,0.01777362,0.98222638,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2019,"Spring",3,13,1055,9,1071,1080,0.00280112,0.012138189,0.014939309,0.985060691,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2019,"Summer",0,8,1072,0,1080,1080,0,0.007407407,0.007407407,0.992592593,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2019,"Fall",0,29,1044,7,1073,1080,0,0.027027027,0.027027027,0.972972973,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2019,"Winter",0,11,1067,2,1078,1080,0,0.010204082,0.010204082,0.989795918,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2020,"Spring",0,9,1066,5,1075,1080,0,0.008372093,0.008372093,0.991627907,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2020,"Summer",8,19,1049,4,1076,1080,0.007434944,0.017657993,0.025092937,0.974907063,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2020,"Fall",1,13,1061,5,1075,1080,0.000930233,0.012093023,0.013023256,0.986976744,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2020,"Winter",0,29,1038,13,1067,1080,0,0.027179007,0.027179007,0.972820993,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2021,"Spring",13,27,1037,3,1077,1080,0.012070566,0.025069638,0.037140204,0.962859796,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2021,"Summer",16,14,1045,5,1075,1080,0.014883721,0.013023256,0.027906977,0.972093023,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2021,"Fall",7,19,1052,2,1078,1080,0.006493506,0.017625232,0.024118738,0.975881262,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2021,"Winter",7,24,1046,3,1077,1080,0.006499536,0.022284123,0.028783658,0.971216342,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2022,"Spring",0,24,1043,13,1067,1080,0,0.022492971,0.022492971,0.977507029,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2022,"Summer",1,22,1054,3,1077,1080,0.000928505,0.020427112,0.021355617,0.978644383,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2022,"Fall",3,17,1053,7,1073,1080,0.002795899,0.01584343,0.018639329,0.981360671,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2022,"Winter",1,24,1048,7,1073,1080,0.000931966,0.022367195,0.023299161,0.976700839,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2023,"Spring",0,10,1068,2,1078,1080,0,0.009276438,0.009276438,0.990723562,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2023,"Summer",3,12,1061,4,1076,1080,0.002788104,0.011152416,0.01394052,0.98605948,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2023,"Fall",5,23,1046,6,1074,1080,0.004655493,0.02141527,0.026070764,0.973929236,"Macrochloa steppe"
"ALBALF1",33.20027,-4.03529,2023,"Winter",0,30,1046,4,1076,1080,0,0.027881041,0.027881041,0.972118959,"Macrochloa steppe"
"ALBALF2",33.2583,-3.9876,2016,"Spring",1,28,324,7,353,360,0.002832861,0.079320113,0.082152975,0.917847025,"Macrochloa steppe"
"ALBALF2",33.2583,-3.9876,2016,"Summer",2,27,330,1,359,360,0.005571031,0.075208914,0.080779944,0.919220056,"Macrochloa steppe"
"ALBALF2",33.2583,-3.9876,2016,"Fall",0,45,311,4,356,360,0,0.126404494,0.126404494,0.873595506,"Macrochloa steppe"
"ALBALF2",33.2583,-3.9876,2016,"Winter",5,22,330,3,357,360,0.014005602,0.06162465,0.075630252,0.924369748,"Macrochloa steppe"
"ALBALF2",33.2583,-3.9876,2017,"Spring",7,44,636,33,687,720,0.010189229,0.064046579,0.074235808,0.925764192,"Macrochloa steppe"
"ALBALF2",33.2583,-3.9876,2017,"Summer",5,29,666,20,700,720,0.007142857,0.041428571,0.048571429,0.951428571,"Macrochloa steppe"
"ALBALF2",33.2583,-3.9876,2017,"Fall",0,16,641,76,657,733,0,0.02435312,0.02435312,0.97564688,"Macrochloa steppe"
"ALBALF2",33.2583,-3.9876,2017,"Winter",6,37,666,11,709,720,0.008462623,0.052186178,0.060648801,0.939351199,"Macrochloa steppe"
"ALBALF2",33.2583,-3.9876,2018,"Spring",8,37,1025,10,1070,1080,0.007476636,0.034579439,0.042056075,0.957943925,"Macrochloa steppe"
"ALBALF2",33.2583,-3.9876,2018,"Summer",27,83,1669,21,1779,1800,0.015177066,0.046655424,0.06183249,0.93816751,"Macrochloa steppe"
"ALBALF2",33.2583,-3.9876,2018,"Fall",17,47,1010,6,1074,1080,0.015828678,0.043761639,0.059590317,0.940409683,"Macrochloa steppe"
"ALBALF2",33.2583,-3.9876,2018,"Winter",13,33,1010,24,1056,1080,0.012310606,0.03125,0.043560606,0.956439394,"Macrochloa steppe"
"ALBALF2",33.2583,-3.9876,2019,"Spring",1,80,967,32,1048,1080,0.000954198,0.076335878,0.077290076,0.922709924,"Macrochloa steppe"
"ALBALF2",33.2583,-3.9876,2019,"Summer",5,77,977,21,1059,1080,0.004721435,0.072710104,0.077431539,0.922568461,"Macrochloa steppe"
"ALBALF2",33.2583,-3.9876,2019,"Fall",0,82,987,11,1069,1080,0,0.076707203,0.076707203,0.923292797,"Macrochloa steppe"
