Station,Lat,Lon,Code,Habitat_Fr,Habitat_en2,,,Station,Habitat,,,Station
ALBALF1,33.20027,-4.03529,ALF,Alfatière,Macrochloa steppe,,,ALBALF1,Macrochloa steppe,,,ALBALF1
ALBALF2,33.2583,-3.9876,ALF,Alfatière,Macrochloa steppe,,,ALBALF2,Macrochloa steppe,,,ALBALF2
ALBALF3,33.29604,-3.94828,ALF,Alfatière,Macrochloa steppe,,,ALBALF3,Macrochloa steppe,,,ALBALF3
ALBLDD1,33.17201,-3.97828,WED,Ligne de drainage,Gully,,,ALBLDD+1,Gully,,,ALBLDD+1
ALBLDD2,33.21472,-3.91305,WED,Ligne de drainage,Gully,,,ALBLDD+2,Gully,,,ALBLDD+2
ALBLDD3,33.26426,-3.84344,WED,Ligne de drainage,Gully,,,ALBLDD+3,Gully,,,ALBLDD+3
ALBREG1,33.14186,-3.94049,REG,Reg,Reg,,,ALBLDD1,Gully,,,ALBLDD1
ALBREG3,33.28356,-3.89417,REG,Reg,Reg,,,ALBLDD2,Gully,,,ALBLDD2
ALBSEP1,33.14973,-3.94129,EPA,Epandage,Alluvial spread area,,,ALBLDD3,Gully,,,ALBLDD3
ALBSEP2,33.22191,-3.93053,EPA,Epandage,Alluvial spread area,,,ALBREG1,Reg,,,ALBREG1
ALBSEP3,33.2133,-3.85988,EPA,Epandage,Alluvial spread area,,,ALBREG3,Reg,,,ALBREG3
BOUEX1,32.41966,-2.25862,EPA,Epandage/reg à Fredolia,Alluvial spread area,,,ALBSEP1,Alluvial spread area,,,ALBSEP1
BOUEX2,32.42911,-2.27631,EPA,Epandage/reg à Fredolia,Alluvial spread area,,,ALBSEP2,Alluvial spread area,,,ALBSEP2
BOUIN1,32.41504,-2.27241,EPA,Epandage/reg à Fredolia,Alluvial spread area,,,ALBSEP3,Alluvial spread area,,,ALBSEP3
BOUIN2,32.41793,-2.27529,EPA,Epandage/reg à Fredolia,Alluvial spread area,,,BOUEX1,Alluvial spread area,,,BOUEX1
ENJEX1,33.12976,-4.55768,REG,Reg,Reg,,,BOUEX2,Alluvial spread area,,,BOUEX2
ENJEX2,33.10762,-4.60643,REG,Reg,Reg,,,BOUIN1,Alluvial spread area,,,BOUIN1
ENJEX3,33.15221,-4.61005,REG,Reg,Reg,,,BOUIN2,Alluvial spread area,,,BOUIN2
ENJIN1,33.13827,-4.57151,REG,Reg,Reg,,,ENJEX1,Reg,,,ENJEX1
ENJIN2,33.12315,-4.5986,REG,Reg,Reg,,,ENJEX2,Reg,,,ENJEX2
ENJIN3,33.14671,-4.59543,REG,Reg,Reg,,,ENJEX3,Reg,,,ENJEX3
FREDO1,32.35329,-2.26124,REG,Reg à Fredolia,Reg,,,ENJIN1,Reg,,,ENJIN1
FREDOST,32.34936,-2.27426,REG,Reg à Fredolia,Reg,,,ENJIN2,Reg,,,ENJIN2
LDD+1,33.13916,-3.98695,WED,Ligne de drainage,Gully,,,ENJIN3,Reg,,,ENJIN3
LDD+2,33.21383,-3.88741,WED,Ligne de drainage,Gully,,,FredoliaStep4,Reg,,,FredoliaStep4
LDD+3,33.30595,-3.7685,WED,Ligne de drainage,Gully,,,FredoliaStep5,Reg,,,FredoliaStep5
LDDACACIA3,29.16256,-8.53265,WED,Ligne de drainage à Acacia,Gully,,,LDDACACIA3,Gully,,,LDDACACIA3
LDDACACIA4,29.17983,-8.54063,WED,Ligne de drainage à Acacia,Gully,,,LDDACACIA4,Gully,,,LDDACACIA4
LDDACACIA5,29.22637,-8.51193,WED,Ligne de drainage à Acacia,Gully,,,LDDACACIA5,Gully,,,LDDACACIA5
MAAEX1,33.2414,-2.74147,REG,Reg,Reg,,,MAAEX1,Reg,,,MAAEX1
MAAIN1,33.25644,-2.73065,REG,Reg,Reg,,,MAAIN1,Reg,,,MAAIN1
MISEX1,33.01786,-4.11318,REG,Reg,Reg,,,MISEX1,Reg,,,MISEX1
MISEX2,33.01891,-4.08023,REG,Reg,Reg,,,MISEX2,Reg,,,MISEX2
MISEX3,33.00683,-4.12298,REG,Reg,Reg,,,MISEX3,Reg,,,MISEX3
MISEX4,32.9926,-4.10352,REG,Reg,Reg,,,MISEX4,Reg,,,MISEX4
MISIN1,33.01386,-4.09302,REG,Reg,Reg,,,MISIN1,Reg,,,MISIN1
MISIN2,33.0117,-4.08321,REG,Reg,Reg,,,MISIN2,Reg,,,MISIN2
MISIN3,33.00727,-4.10685,REG,Reg,Reg,,,MISIN3,Reg,,,MISIN3
MISIN4,33.00143,-4.09707,REG,Reg,Reg,,,MISIN4,Reg,,,MISIN4
NN42SE1,29.14138,-8.52519,WED,Ligne de drainage à Acacia,Gully,,,NN42SE1,Gully,,,NN42SE1
NN42SE2,29.14112,-8.4985,REG,Reg,Reg,,,NN42SE2,Reg,,,NN42SE2
NN42SE3,29.12327,-8.50285,REG,Reg,Reg,,,NN42SE3,Reg,,,NN42SE3
NN42SE4,29.11871,-8.52437,REG,Reg,Reg,,,NN42SE4,Reg,,,NN42SE4
NN42SE5,29.12992,-8.5116,WED,Ligne de drainage à Acacia,Gully,,,NN42SE5,Gully,,,NN42SE5
PISTA1,33.18906,-3.9816,WED,Oued à Pistacia atlantica,Wadi,,,Pista1,Wadi,,,Pista1
PISTA2,33.21777,-3.98722,WED,Oued à Pistacia atlantica,Wadi,,,Pista2,Wadi,,,Pista2
PISTA3,33.21374,-3.94364,WED,Oued à Pistacia atlantica,Wadi,,,Pista3,Wadi,,,Pista3
PISTA4,33.26739,-3.94475,WED,Oued à Pistacia atlantica,Wadi,,,Pista4,Wadi,,,Pista4
PISTA5,33.27604,-3.9107,WED,Oued à Pistacia atlantica,Wadi,,,Pista5,Wadi,,,Pista5
PP40NE1,29.89938,-7.48278,EPA,Epandage à Zygophyllum,Alluvial spread area,,,PP40NE1,Alluvial spread area,,,PP40NE1
PP40NE2,29.89977,-7.45908,REG,Reg,Reg,,,PP40NE2,Reg,,,PP40NE2
PP40NE3,29.87654,-7.46071,EPA,Epandage à Zygophyllum,Alluvial spread area,,,PP40NE3,Alluvial spread area,,,PP40NE3
PP40NE4,29.88181,-7.49215,REG,Reg,Reg,,,PP40NE4,Reg,,,PP40NE4
