Station,Lat,Lon,Code,Habitat_Fr,Habitat_en2
ALBALF1,33.20027,-4.03529,ALF,Alfatière,Macrochloa steppe
ALBALF2,33.2583,-3.9876,ALF,Alfatière,Macrochloa steppe
ALBALF3,33.29604,-3.94828,ALF,Alfatière,Macrochloa steppe
ALBLDD1,33.17201,-3.97828,WED,Ligne de drainage,Gully
ALBLDD2,33.21472,-3.91305,WED,Ligne de drainage,Gully
ALBLDD3,33.26426,-3.84344,WED,Ligne de drainage,Gully
ALBREG1,33.14186,-3.94049,REG,Reg,Reg
ALBREG3,33.28356,-3.89417,REG,Reg,Reg
ALBSEP1,33.14973,-3.94129,EPA,Epandage,Alluvial spread area
ALBSEP2,33.22191,-3.93053,EPA,Epandage,Alluvial spread area
ALBSEP3,33.2133,-3.85988,EPA,Epandage,Alluvial spread area
BOUEX1,32.41966,-2.25862,EPA,Epandage/reg à Fredolia,Alluvial spread area
BOUEX2,32.42911,-2.27631,EPA,Epandage/reg à Fredolia,Alluvial spread area
BOUIN1,32.41504,-2.27241,EPA,Epandage/reg à Fredolia,Alluvial spread area
BOUIN2,32.41793,-2.27529,EPA,Epandage/reg à Fredolia,Alluvial spread area
ENJEX1,33.12976,-4.55768,REG,Reg,Reg
ENJEX2,33.10762,-4.60643,REG,Reg,Reg
ENJEX3,33.15221,-4.61005,REG,Reg,Reg
ENJIN1,33.13827,-4.57151,REG,Reg,Reg
ENJIN2,33.12315,-4.5986,REG,Reg,Reg
ENJIN3,33.14671,-4.59543,REG,Reg,Reg
FREDO1,32.35329,-2.26124,REG,Reg à Fredolia,Reg
FREDOST,32.34936,-2.27426,REG,Reg à Fredolia,Reg
LDD+1,33.13916,-3.98695,WED,Ligne de drainage,Gully
LDD+2,33.21383,-3.88741,WED,Ligne de drainage,Gully
LDD+3,33.30595,-3.7685,WED,Ligne de drainage,Gully
LDDACACIA3,29.16256,-8.53265,WED,Ligne de drainage à Acacia,Gully
LDDACACIA4,29.17983,-8.54063,WED,Ligne de drainage à Acacia,Gully
LDDACACIA5,29.22637,-8.51193,WED,Ligne de drainage à Acacia,Gully
MAAEX1,33.2414,-2.74147,REG,Reg,Reg
MAAIN1,33.25644,-2.73065,REG,Reg,Reg
MISEX1,33.01786,-4.11318,REG,Reg,Reg
MISEX2,33.01891,-4.08023,REG,Reg,Reg
MISEX3,33.00683,-4.12298,REG,Reg,Reg
MISEX4,32.9926,-4.10352,REG,Reg,Reg
MISIN1,33.01386,-4.09302,REG,Reg,Reg
MISIN2,33.0117,-4.08321,REG,Reg,Reg
MISIN3,33.00727,-4.10685,REG,Reg,Reg
MISIN4,33.00143,-4.09707,REG,Reg,Reg
NN42SE1,29.14138,-8.52519,WED,Ligne de drainage à Acacia,Gully
NN42SE2,29.14112,-8.4985,REG,Reg,Reg
NN42SE3,29.12327,-8.50285,REG,Reg,Reg
NN42SE4,29.11871,-8.52437,REG,Reg,Reg
NN42SE5,29.12992,-8.5116,WED,Ligne de drainage à Acacia,Gully
